,K,avgs,pro
0,66,85.56,1.296363636
1,67,87.09,1.299850746
2,68,88.07,1.295147059
3,69,89.24,1.293333333
4,70,89.65,1.280714286
5,71,91.02,1.281971831
6,72,92.26,1.281388889
7,73,93.46,1.280273973
8,74,94.45,1.276351351
9,75,95.29,1.270533333
10,76,97.31,1.280394737
11,77,98.77,1.282727273
12,78,99.34,1.273589744
13,79,100.03,1.266202532
14,80,101.23,1.265375
15,81,102.98,1.271358025
16,82,103.72,1.264878049
17,83,104.85,1.263253012
18,84,105.39,1.254642857
19,85,107.23,1.261529412
20,86,108.79,1.265
21,87,109.82,1.262298851
22,88,109.81,1.247840909
23,89,111.64,1.254382022
24,90,112.57,1.250777778
25,91,113.64,1.248791209
26,92,115.21,1.252282609
27,93,116.36,1.251182796
28,94,117.53,1.250319149
29,95,118.33,1.245578947
30,96,119.2,1.241666667
31,97,120.85,1.245876289
32,98,121.17,1.236428571
33,99,122.28,1.235151515
34,100,123.92,1.2392
35,101,124.87,1.236336634
36,102,126.57,1.240882353
37,103,127.25,1.235436893
38,104,128.1,1.231730769
39,105,130.67,1.24447619
40,106,130.89,1.234811321
41,107,132.24,1.23588785
42,108,132.55,1.227314815
43,109,133.19,1.221926606
44,110,135.79,1.234454545
45,111,135.43,1.22009009
46,112,137.91,1.231339286
47,113,137.98,1.221061947
48,114,139.15,1.220614035
49,115,140.05,1.217826087
50,116,141.45,1.219396552
51,117,143.37,1.225384615
52,118,143.89,1.21940678
53,119,145.66,1.224033613
54,120,147.31,1.227583333
55,121,146.9,1.214049587
56,122,148.4,1.216393443
57,123,148.77,1.209512195
58,124,151.03,1.217983871
59,125,152.75,1.222
60,126,152.67,1.211666667
61,127,154.58,1.217165354
62,128,155.17,1.212265625
63,129,155.58,1.206046512
64,130,157.1,1.208461538
65,131,157.51,1.202366412
66,132,160.18,1.213484848
67,133,161.01,1.210601504
68,134,161.2,1.202985075
69,135,162.88,1.206518519
70,136,164.25,1.207720588
71,137,164.2,1.198540146
72,138,165.62,1.200144928
73,139,167,1.201438849
74,140,168.2,1.201428571
75,141,169.12,1.199432624
76,142,170.36,1.19971831
77,143,170.89,1.195034965
78,144,172.11,1.195208333
79,145,173.45,1.196206897
80,146,174.14,1.192739726
81,147,176.28,1.199183673
82,148,177.11,1.196689189
83,149,177.95,1.194295302
