,BER,PER,code_rate,drops_num,loop_num,size
0,1e-05,0.007968124844443647,1.2297869079239678,1201.2,5,100
1,1e-05,0.011928346422711678,1.230707113716255,798.2,5,150
2,1e-05,0.01587275867535054,1.3110806268654196,635.2,5,200
3,1e-05,0.01980142471367141,1.4096933393313018,544.2,5,250
4,1e-05,0.023714407397043225,1.3438740518316235,430.6,5,300
5,1e-05,0.02761176933389864,1.3694188204470563,374.6,5,350
6,1e-05,0.03149357288273513,1.324676336976256,315.8,5,400
7,1e-05,0.035359880153113754,1.443169230709481,304.6,5,450
8,1e-05,0.039210753006651555,1.5010680428043697,284.0,5,500
9,1e-05,0.043046253058012685,1.5515539718652476,265.8,5,550
10,1e-05,0.04686644167589349,1.4871246374023077,232.6,5,600
11,1e-05,0.050671379984004505,1.5618765451266086,224.6,5,650
12,1e-05,0.05446112886204879,1.5609398581564575,207.6,5,700
13,1e-05,0.058235748946695365,1.6273733794771392,201.2,5,750
14,1e-05,0.06199530063255021,1.4777608891259262,170.6,5,800
15,1e-05,0.06573984407312206,1.5357562313698312,166.2,5,850
16,1e-05,0.06946943918178483,1.6208244570880772,165.0,5,900
17,1e-05,0.07318414563273667,1.5261748405924151,146.6,5,950
18,1e-05,0.0768840228619545,1.5733304148071139,143.0,5,1000
19,1e-05,0.0805691300681447,1.730530307408628,149.2,5,1050
20,1e-05,0.08423952621369102,1.5444884499793183,126.6,5,1100
21,1e-05,0.08789527002559716,1.6288474502081738,127.2,5,1150
22,1e-05,0.09153641999642714,1.7198949389487392,128.2,5,1200
23,1e-05,0.09516303438524065,1.7370026923148474,123.8,5,1250
24,1e-05,0.09877517121852575,1.8049329806105252,123.2,5,1300
25,1e-05,0.10237288829112656,1.6313578170524248,106.8,5,1350
26,1e-05,0.10595624316716878,1.6921975322558154,106.4,5,1400
27,1e-05,0.10952529318098025,1.759657766013528,106.4,5,1450
28,1e-05,0.11308009543800823,1.7211342521903519,100.2,5,1500
29,1e-05,0.11662070681573344,1.6573246899938991,93.0,5,1550
30,1e-05,0.12014718396458013,1.9466628178274283,105.4,5,1600
31,1e-05,0.1236595833088221,1.7095774859863115,89.4,5,1650
32,1e-05,0.12715796104748567,1.6932738424331029,85.6,5,1700
33,1e-05,0.13064237315524907,2.015842808546453,98.6,5,1750
34,1e-05,0.13411287538333794,1.9001763181753233,90.0,5,1800
35,1e-05,0.13756952326041727,1.9041415696749235,87.4,5,1850
36,1e-05,0.14101237209347983,1.9904010069337168,88.6,5,1900
37,1e-05,0.14444147696873122,1.8935569071556329,81.8,5,1950
38,1e-05,0.1478568927524715,2.1358248661109753,89.6,5,2000
39,1e-05,0.15125867409197225,2.2225261444613906,90.6,5,2050
40,1e-05,0.1546468754163518,1.9275899780338541,76.4,5,2100
41,1e-05,0.15802155093744596,1.8257878472045672,70.4,5,2150
42,1e-05,0.16138275465067486,1.8437632521056824,69.2,5,2200
43,1e-05,0.1647305403359074,1.9643574962708443,71.8,5,2250
44,1e-05,0.16806496155832162,2.167683586286158,77.2,5,2300
45,1e-05,0.17138607166926179,1.901077129604965,66.0,5,2350
46,1e-05,0.17469392380709192,1.984749223834667,67.2,5,2400
47,1e-05,0.17798857089804598,2.022110384349893,66.8,5,2450
48,1e-05,0.18127006565707493,2.1522810324547414,69.4,5,2500
49,1e-05,0.18453846058868983,1.848416560942582,58.2,5,2550
50,1e-05,0.18779380798780243,2.113297197370948,65.0,5,2600
51,1e-05,0.19103615994056133,1.9895649298760156,59.8,5,2650
52,1e-05,0.1942655683251857,1.919513247919799,56.4,5,2700
53,1e-05,0.1974820848127954,2.2900450175370057,65.8,5,2750
54,1e-05,0.20068576086823742,2.1987159421794034,61.8,5,2800
55,1e-05,0.20387664775090963,2.072428333700646,57.0,5,2850
56,1e-05,0.20705479651558079,2.094952083286811,56.4,5,2900
57,1e-05,0.21022025801320732,2.23066072524167,58.8,5,2950
58,1e-05,0.2133730828917474,2.1226245288083025,54.8,5,3000
59,1e-05,0.21651332159697056,2.419690467060532,61.2,5,3050
60,1e-05,0.21964102437326571,2.4611453753976855,61.0,5,3100
61,1e-05,0.22275624126444438,2.445005970590943,59.4,5,3150
62,1e-05,0.22585902211454167,2.199892084827419,52.4,5,3200
63,1e-05,0.2289494165686139,2.551449160768001,59.6,5,3250
64,1e-05,0.23202747407353264,2.2955891800398924,52.6,5,3300
65,1e-05,0.23509324387877617,2.4019847099281875,54.0,5,3350
66,1e-05,0.23814677503721737,2.4657365624630567,54.4,5,3400
67,1e-05,0.24118811640590854,2.262670006654559,49.0,5,3450
68,1e-05,0.24421731664686286,2.0130522382360745,42.8,5,3500
69,1e-05,0.2472344242278336,2.643917192430493,55.2,5,3550
70,1e-05,0.2502394874230892,2.701654883032808,55.4,5,3600
71,1e-05,0.2532325543141857,2.164383154196857,43.6,5,3650
72,1e-05,0.25621367279073604,2.3645012890085937,46.8,5,3700
73,1e-05,0.2591828905511765,2.3752121593477815,46.2,5,3750
74,1e-05,0.2621402551035297,2.4792954848070736,47.4,5,3800
75,1e-05,0.2650858137661646,2.3198011350038437,43.6,5,3850
76,1e-05,0.268019613668554,2.608268939889545,48.2,5,3900
77,1e-05,0.2709417017520285,2.344145721991205,42.6,5,3950
78,1e-05,0.273852124770527,2.383332790020541,42.6,5,4000
79,1e-05,0.2767509292913459,2.4569202188412915,43.2,5,4050
80,1e-05,0.27963816169588296,2.4509767084576333,42.4,5,4100
81,1e-05,0.28251386818038027,2.631799306808038,44.8,5,4150
82,1e-05,0.285378094756663,2.4712317530926065,41.4,5,4200
83,1e-05,0.28823088725287593,2.5106738655630636,41.4,5,4250
84,1e-05,0.2910722913142161,2.4148643486019905,39.2,5,4300
85,1e-05,0.2939023524036638,2.527819303660798,40.4,5,4350
86,1e-05,0.29672111580270977,2.656082428966351,41.8,5,4400
87,1e-05,0.29952862661207935,2.4647515651114644,38.2,5,4450
88,1e-05,0.30232492975245473,2.9478948700032315,45.0,5,4500
89,1e-05,0.3051100699651932,3.0058962170885635,45.2,5,4550
90,1e-05,0.3078840918130431,2.659594281688784,39.4,5,4600
91,1e-05,0.31064703968085716,3.0418265527849386,44.4,5,4650
92,1e-05,0.3133989577763022,2.5167619460366955,36.2,5,4700
93,1e-05,0.31613989013056687,2.5819485973076723,36.6,5,4750
94,1e-05,0.31886988059906574,2.2617177347017363,31.6,5,4800
95,1e-05,0.3215889728621415,2.42513252071335,33.4,5,4850
96,1e-05,0.3242972104257632,2.8576712286451675,38.8,5,4900
97,1e-05,0.32699463662222317,2.689238641675616,36.0,5,4950
98,1e-05,0.3296812946108295,3.000019103184474,39.6,5,5000
99,1e-05,0.3323572273785974,2.427585178532862,31.6,5,5050
100,1e-05,0.3350224777409362,2.77302239660294,35.6,5,5100
101,1e-05,0.33767708834233523,2.669281147046439,33.8,5,5150
102,1e-05,0.3403211016570452,2.513856992702442,31.4,5,5200
103,1e-05,0.3429545599897589,2.4508177065965193,30.2,5,5250
104,1e-05,0.34557750547628685,2.6156819724134555,31.8,5,5300
105,1e-05,0.34818998008423285,2.8510118622607874,34.2,5,5350
106,1e-05,0.35079202561366407,3.09194078547327,36.6,5,5400
107,1e-05,0.35338368369778095,3.270042330623504,38.2,5,5450
