,BER,PER,psnr,psnr_count
0,0.0041,0.8066728056193145,-50.31538021621327,18
1,0.0051,0.8706482388074477,-50.64100727711578,17
2,0.0061,0.9134880222273853,-50.85146756925697,8
3,0.0071,0.9421631970699158,-50.98952701280202,3
4,0.0081,0.9613494120566325,-51.0666048123912,2
5,0.0091,0.9741814787555426,-51.13373399145259,3
6,0.010100000000000001,0.9827603001251608,0.0,0
7,0.0111,0.9884933008964747,-51.1936575929982,2
8,0.0121,0.9923229534737623,-51.20692801139083,4
9,0.0131,0.9948801222730462,-51.220610361640354,2
10,0.014100000000000001,0.9965869186037541,0.0,0
