,chunk_num,chunk_size,code_rate,loop_num,p1,per,w1_done,w1_size,w2_done
0,985.0,100,3.5592602911088167,2,0.6500000000000001,0.07688734631753857,0.23104935429145332,0.1,3.5592602911088167
1,985.0,100,3.204984614528588,2,0.6000000000000001,0.07688734631753857,0.26790722747604234,0.1,3.204984614528588
2,985.0,100,2.6482656941882294,2,0.55,0.07688734631753857,0.2503034671490744,0.1,2.6482656941882294
3,985.0,100,2.7164802654552296,2,0.5,0.07688734631753857,0.35702626413131716,0.1,2.7164802654552296
4,985.0,100,2.3379994184254205,2,0.45,0.07688734631753857,0.31026627576280874,0.1,2.3379994184254205
5,985.0,100,1.9589684538853933,2,0.4,0.07688734631753857,0.3498747364984864,0.1,1.9589684538853933
6,985.0,100,1.9496164562116918,2,0.35000000000000003,0.07688734631753857,0.47200082376682606,0.1,1.9496164562116918
7,985.0,100,1.7922828482894164,2,0.3,0.07688734631753857,0.49785634674706014,0.1,1.7922828482894164
8,985.0,100,1.611294187427778,2,0.25,0.07688734631753857,0.57597303319798,0.1,1.611294187427778
9,985.0,100,1.524925738323592,2,0.2,0.07688734631753857,0.8422299081433692,0.1,1.524925738323592
10,985.0,100,1.444608581831801,2,0.15000000000000002,0.07688734631753857,1.0100157487597816,0.1,1.444608581831801
11,985.0,100,1.3681422479115344,2,0.1,0.07688734631753857,1.1469950088040004,0.1,1.3681422479115344
12,985.0,100,1.2641700384803802,2,0.05,0.07688734631753857,1.2300627528468802,0.1,1.2641700384803802
